,,,,,,,,,,,,,,,,,,
,,,,,Loading Unit Time Profile,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Report Created On:,,,,,10-08-2026
,Parameters:,,,,,,,,,Description:,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,This report contains a spreadsheet of all the status that a specified loading unit has incurred for the specified time period.,,,,,,,,
,,Start Shift Date:,,,01-07-2026,,,,,,,,,,,,,
,,End Shift Date:,,,31-07-2026,,,,,,,,,,,,,
,,Loader:,,,EX007,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,IsDst:,,,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,01-07-2026,,,,,,,,,,,,,,,,,
,Timestamp,,,,,Status Code,,Sub-Status Code,,,,"Duration
(min)",,,Hauling Unit,,,
,01-07-2026,,,,,LU Loading,,,,,,3.1,,,RD229,,,
,01-07-2026,,,,,Waiting,,,,,,7.22,,,RD247,,,
,01-07-2026,,,,,LU Loading,,,,,,2.52,,,RD247,,,
,01-07-2026,,,,,Waiting,,,,,,5.33,,,RD229,,,
,01-07-2026,,,,,LU Loading,,,,,,2.63,,,RD229,,,
,01-07-2026,,,,,Waiting,,,,,,0.02,,,RD231,,,
,01-07-2026,,,,,LU Loading,,,,,,0.02,,,RD231,,,
,01-07-2026,,,,,Waiting,,,,,,6.68,,,RD247,,,
,01-07-2026,,,,,LU Loading,,,,,,2.6,,,RD247,,,
,01-07-2026,,,,,Waiting,,,,,,2.17,,,RD231,,,
,01-07-2026,,,,,LU Loading,,,,,,2.13,,,RD231,,,
,01-07-2026,,,,,Waiting,,,,,,0.15,,,RD229,,,
,01-07-2026,,,,,LU Loading,,,,,,3.18,,,RD229,,,
,01-07-2026,,,,,Waiting,,,,,,1.82,,,RD244,,,
,01-07-2026,,,,,LU Loading,,,,,,2.42,,,RD244,,,
