textbox1,textbox19,textbox20,textbox16,textbox17,textbox14,textbox12,textbox15,textbox13,textbox8,textbox9,textbox18,Textbox2,Textbox3
Productivity TKPH-TMPH by Fleet and Hauling Unit,Report Created On:,12-08-2026,Parameters:,Description:,Start Shift Date:,01-07-2026,End Shift Date:,31-07-2026,,,This report contains a spreadsheet showing the productivity of each hauling unit for the specified time period.  This report is grouped by fleet.,¹ Includes all time spent in statuses assigned to the [Truck Speed Productivity] status category.,* ( Quantity * (Empty Distance + Haul Distance) ) / Total Travel Time

FLEET_IDENT,Textbox39,Textbox40,Textbox41,Textbox42,Textbox11,Textbox34,Textbox47,EQUIP_IDENT,Textbox169,NUM_OF_LOADS,HAUL_DISTANCE,EMPTY_DISTANCE,Textbox6,Textbox7,QUANTITY_REPORTING,NUM_OF_LOADS1,HAUL_DISTANCE1,Textbox29,Textbox45,Textbox52
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD241,"1,10,044.30","1,247","1,826.80","2,568.68",500.36,"9,66,707.10","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD242,"1,11,069.80","1,238","1,740.37","2,454.73",461.31,"10,10,061.87","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD243,"1,09,785.80","1,209","1,689.84","2,688.66",481.03,"9,99,305.61","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD244,"1,13,826.05","1,281","1,703.76","2,387.43",481.08,"9,67,995.57","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD245,"1,15,118.60","1,316","1,887.17","2,651.94",501.87,"10,41,181.48","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD246,"64,829.30",708,867.57,"1,413.27",283.40,"5,21,759.31","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD247,"1,09,512.35","1,196","1,497.01","2,133.73",401.37,"9,90,630.32","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD248,"1,17,915.75","1,300","1,718.50","2,552.64",502.66,"10,01,945.45","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD249,"97,716.95","1,063","1,539.99","2,243.56",414.88,"8,91,135.88","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD250,"95,105.10","1,041","1,324.26","2,147.15",403.88,"8,17,449.77","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD251,"1,09,554.40","1,210","1,676.02","2,488.47",478.45,"9,53,569.20","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD252,"1,05,624.15","1,197","1,720.71","2,471.72",453.86,"9,75,688.29","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD253,"1,05,933.85","1,171","1,791.94","2,506.43",463.16,"9,83,116.70","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F02,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD2KC1,"12,194.28",455,600.43,685.96,163.43,"95,986.46","1,17,624.58","4,151","5,803.89","6,555.46","1,652.14","8,79,926.33"
F02,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD2KC2,"9,002.04",350,521.31,549.99,142.82,"67,525.29","1,17,624.58","4,151","5,803.89","6,555.46","1,652.14","8,79,926.33"
F02,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD2KC3,"6,310.89",157,261.14,297.64,78.40,"44,981.42","1,17,624.58","4,151","5,803.89","6,555.46","1,652.14","8,79,926.33"
F02,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD2KC4,271.26,11,12.51,17.97,8.03,"1,030.08","1,17,624.58","4,151","5,803.89","6,555.46","1,652.14","8,79,926.33"
F02,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD2KC5,"17,184.40",428,638.82,731.51,191.36,"1,23,059.65","1,17,624.58","4,151","5,803.89","6,555.46","1,652.14","8,79,926.33"
F02,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD2KC6,0.00,0,0.00,0.00,0.00,0.00,"1,17,624.58","4,151","5,803.89","6,555.46","1,652.14","8,79,926.33"
F02,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RDO01,"17,140.65",649,"1,020.65","1,182.46",261.10,"1,44,627.44","1,17,624.58","4,151","5,803.89","6,555.46","1,652.14","8,79,926.33"
F02,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RDO02,"26,868.93","1,004","1,338.75","1,377.25",384.39,"1,89,848.02","1,17,624.58","4,151","5,803.89","6,555.46","1,652.14","8,79,926.33"
F02,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RDO03,"26,461.80","1,011","1,322.50","1,529.74",372.39,"2,02,679.71","1,17,624.58","4,151","5,803.89","6,555.46","1,652.14","8,79,926.33"
F02,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RDO04,"2,190.33",86,87.78,182.94,50.24,"11,803.67","1,17,624.58","4,151","5,803.89","6,555.46","1,652.14","8,79,926.33"
F03,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD201,"49,147.65",604,"1,180.45","1,674.17",323.61,"4,33,534.07","4,73,557.55","5,739","10,535.87","15,192.85","2,863.87","42,54,397.32"
