textbox7,textbox19,textbox20,textbox22,textbox29,textbox21,textbox27,textbox26,textbox28,textbox24,textbox10,textbox11,textbox30,textbox31,textbox33,textbox32
Delay by Loading Unit and Status Code,Report Created On:,12-08-2026,Description:,Parameters:,This report contains a matrix identifying the delay and down statuses for all loading units during a specified time period.  The report is grouped by fleet.,Start Shift Date:,01-07-2026,End Shift Date:,10-07-2026,,,Fleet:,All,Loader:,All

textbox4,Textbox1,FLEET_IDENT,EQUIP_IDENT,STATUS_DESC,textbox2,Textbox42,Textbox44,Textbox13,Textbox14,Textbox37,Textbox12,Textbox15,Textbox46
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Scheduled Service,,Total,90.39,Total,,274.03,Total,15.55,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Shift Change,24.97,Total,90.39,Total,76.60,274.03,Total,411.51,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Shift Incharge Instruction,,Total,90.39,Total,,274.03,Total,0.63,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Stuck in Mud,,Total,90.39,Total,0.08,274.03,Total,0.99,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Tea/ Breakfast / Snacks,7.76,Total,90.39,Total,29.28,274.03,Total,91.06,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Toilet Break,0.54,Total,90.39,Total,0.54,274.03,Total,2.09,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Weather,,Total,90.39,Total,0.56,274.03,Total,0.87,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001, Down,186.42,Total,200.30,Total,267.56,323.61,Total,774.85,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Blasting,,Total,200.30,Total,4.71,323.61,Total,59.94,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Breakdown Maintenance,,Total,200.30,Total,,323.61,Total,2.27,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Bucket Teeth Change,,Total,200.30,Total,,323.61,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Cable Shifting,,Total,200.30,Total,0.00,323.61,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Change Operators,,Total,200.30,Total,0.18,323.61,Total,1.85,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Clean & Remove,,Total,200.30,Total,0.28,323.61,Total,0.28,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Daily Service,2.75,Total,200.30,Total,5.43,323.61,Total,156.53,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Delay At Hopper,,Total,200.30,Total,,323.61,Total,7.71,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Fuel Filling,0.44,Total,200.30,Total,0.68,323.61,Total,4.47,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Lightning,,Total,200.30,Total,,323.61,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Marching,3.19,Total,200.30,Total,11.55,323.61,Total,119.97,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Meeting,,Total,200.30,Total,,323.61,Total,0.16,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Pit Closed,,Total,200.30,Total,,323.61,Total,0.06,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Scheduled Service,,Total,200.30,Total,,323.61,Total,15.55,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Shift Change,6.30,Total,200.30,Total,22.68,323.61,Total,411.51,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Shift Incharge Instruction,,Total,200.30,Total,,323.61,Total,0.63,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Stuck in Mud,,Total,200.30,Total,0.38,323.61,Total,0.99,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Tea/ Breakfast / Snacks,1.19,Total,200.30,Total,9.27,323.61,Total,91.06,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Toilet Break,,Total,200.30,Total,0.88,323.61,Total,2.09,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Weather,,Total,200.30,Total,,323.61,Total,0.87,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003, Down,81.14,Total,123.31,Total,267.56,323.61,Total,774.85,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Blasting,4.71,Total,123.31,Total,4.71,323.61,Total,59.94,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Breakdown Maintenance,,Total,123.31,Total,,323.61,Total,2.27,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Bucket Teeth Change,,Total,123.31,Total,,323.61,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Cable Shifting,0.00,Total,123.31,Total,0.00,323.61,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Change Operators,0.18,Total,123.31,Total,0.18,323.61,Total,1.85,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Clean & Remove,0.28,Total,123.31,Total,0.28,323.61,Total,0.28,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Daily Service,2.68,Total,123.31,Total,5.43,323.61,Total,156.53,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Delay At Hopper,,Total,123.31,Total,,323.61,Total,7.71,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Fuel Filling,0.24,Total,123.31,Total,0.68,323.61,Total,4.47,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Lightning,,Total,123.31,Total,,323.61,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Marching,8.37,Total,123.31,Total,11.55,323.61,Total,119.97,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Meeting,,Total,123.31,Total,,323.61,Total,0.16,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Pit Closed,,Total,123.31,Total,,323.61,Total,0.06,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Scheduled Service,,Total,123.31,Total,,323.61,Total,15.55,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Shift Change,16.38,Total,123.31,Total,22.68,323.61,Total,411.51,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Shift Incharge Instruction,,Total,123.31,Total,,323.61,Total,0.63,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Stuck in Mud,0.38,Total,123.31,Total,0.38,323.61,Total,0.99,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Tea/ Breakfast / Snacks,8.08,Total,123.31,Total,9.27,323.61,Total,91.06,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Toilet Break,0.88,Total,123.31,Total,0.88,323.61,Total,2.09,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Weather,,Total,123.31,Total,,323.61,Total,0.87,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006, Down,37.31,Total,87.43,Total,37.31,87.43,Total,774.85,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Blasting,6.78,Total,87.43,Total,6.78,87.43,Total,59.94,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Breakdown Maintenance,,Total,87.43,Total,,87.43,Total,2.27,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Bucket Teeth Change,,Total,87.43,Total,,87.43,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Cable Shifting,,Total,87.43,Total,,87.43,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Change Operators,0.77,Total,87.43,Total,0.77,87.43,Total,1.85,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Clean & Remove,,Total,87.43,Total,,87.43,Total,0.28,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Daily Service,4.92,Total,87.43,Total,4.92,87.43,Total,156.53,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Delay At Hopper,,Total,87.43,Total,,87.43,Total,7.71,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Fuel Filling,,Total,87.43,Total,,87.43,Total,4.47,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Lightning,,Total,87.43,Total,,87.43,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Marching,9.47,Total,87.43,Total,9.47,87.43,Total,119.97,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Meeting,,Total,87.43,Total,,87.43,Total,0.16,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Pit Closed,,Total,87.43,Total,,87.43,Total,0.06,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Scheduled Service,,Total,87.43,Total,,87.43,Total,15.55,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Shift Change,24.73,Total,87.43,Total,24.73,87.43,Total,411.51,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Shift Incharge Instruction,0.21,Total,87.43,Total,0.21,87.43,Total,0.63,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Stuck in Mud,0.53,Total,87.43,Total,0.53,87.43,Total,0.99,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Tea/ Breakfast / Snacks,2.05,Total,87.43,Total,2.05,87.43,Total,91.06,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Toilet Break,0.36,Total,87.43,Total,0.36,87.43,Total,2.09,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F08-Liebherr R9250,EX006,Weather,0.29,Total,87.43,Total,0.29,87.43,Total,0.87,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F09-Tata Hitachi EX2500-6,EX004, Down,24.96,Total,85.33,Total,37.92,154.36,Total,774.85,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F09-Tata Hitachi EX2500-6,EX004,Blasting,7.20,Total,85.33,Total,8.49,154.36,Total,59.94,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F09-Tata Hitachi EX2500-6,EX004,Breakdown Maintenance,,Total,85.33,Total,,154.36,Total,2.27,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F09-Tata Hitachi EX2500-6,EX004,Bucket Teeth Change,,Total,85.33,Total,,154.36,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F09-Tata Hitachi EX2500-6,EX004,Cable Shifting,,Total,85.33,Total,,154.36,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F09-Tata Hitachi EX2500-6,EX004,Change Operators,0.29,Total,85.33,Total,0.29,154.36,Total,1.85,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F09-Tata Hitachi EX2500-6,EX004,Clean & Remove,,Total,85.33,Total,,154.36,Total,0.28,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F09-Tata Hitachi EX2500-6,EX004,Daily Service,16.31,Total,85.33,Total,30.48,154.36,Total,156.53,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F09-Tata Hitachi EX2500-6,EX004,Delay At Hopper,,Total,85.33,Total,,154.36,Total,7.71,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F09-Tata Hitachi EX2500-6,EX004,Fuel Filling,0.02,Total,85.33,Total,1.06,154.36,Total,4.47,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F09-Tata Hitachi EX2500-6,EX004,Lightning,,Total,85.33,Total,,154.36,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F09-Tata Hitachi EX2500-6,EX004,Marching,7.76,Total,85.33,Total,14.02,154.36,Total,119.97,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F09-Tata Hitachi EX2500-6,EX004,Meeting,,Total,85.33,Total,,154.36,Total,0.16,"1,650.81"
