textbox1,textbox21,textbox22,textbox16,textbox17,textbox14,textbox12,textbox15,textbox13,textbox199,textbox20,textbox28,textbox29,textbox3333,textbox32,textbox33345,textbox333465,textbox18
Payload Statistics by Fleet and Hauling Unit Operator,Report Created On:,12-08-2026,Parameters:,Description:,Start Shift Date:,01-07-2026,End Shift Date:,31-07-2026,Min Payload:,0,Max Payload:,99999999,Hauling Unit:,All,Crew:,All,This report contains a graph and a spreadsheet showing the payload amounts that each operator delivered for a specified time period.  This report is grouped by fleet.

PAYLOAD REPORTING_label,PAYLOAD REPORTING_Chart2_CategoryGroup_label,PAYLOAD REPORTING_Chart2_CategoryGroup_Value_Y
PAYLOAD REPORTING,270603,43.568333333333333333333333333
PAYLOAD REPORTING,270605,42.5925
PAYLOAD REPORTING,270606,36.0200
PAYLOAD REPORTING,270607,44.286666666666666666666666667
PAYLOAD REPORTING,270608,45.9900
PAYLOAD REPORTING,270609,39.6550
PAYLOAD REPORTING,270611,39.763333333333333333333333333
PAYLOAD REPORTING,270612,43.4944
PAYLOAD REPORTING,270614,40.9000
PAYLOAD REPORTING,270634,87.29841836734693877551020408
PAYLOAD REPORTING,270635,91.99077809798270893371757925
PAYLOAD REPORTING,270636,87.01186943620178041543026706
PAYLOAD REPORTING,270637,89.45595092024539877300613497
PAYLOAD REPORTING,270638,80.56922222222222222222222222
PAYLOAD REPORTING,270639,77.522558139534883720930232558
PAYLOAD REPORTING,270640,77.229196428571428571428571429
PAYLOAD REPORTING,270641,81.32893854748603351955307263
PAYLOAD REPORTING,270642,88.81081761006289308176100629
PAYLOAD REPORTING,270644,88.47841945288753799392097264
PAYLOAD REPORTING,270645,89.99104761904761904761904762
PAYLOAD REPORTING,270646,89.14761658031088082901554404
PAYLOAD REPORTING,270647,82.93632478632478632478632479
PAYLOAD REPORTING,270648,89.61238938053097345132743363
PAYLOAD REPORTING,270650,80.68061538461538461538461538
PAYLOAD REPORTING,270654,80.38113207547169811320754717
PAYLOAD REPORTING,270655,88.16734693877551020408163265
PAYLOAD REPORTING,270656,89.07491039426523297491039427
PAYLOAD REPORTING,270659,88.79409836065573770491803279
PAYLOAD REPORTING,270663,84.96338582677165354330708661
PAYLOAD REPORTING,270664,85.98576923076923076923076923
PAYLOAD REPORTING,270665,82.57531645569620253164556962
PAYLOAD REPORTING,270667,88.80528634361233480176211454
PAYLOAD REPORTING,270671,86.85929203539823008849557522
PAYLOAD REPORTING,270672,92.73644067796610169491525424
PAYLOAD REPORTING,270673,84.31674418604651162790697674
PAYLOAD REPORTING,270674,90.73581081081081081081081081
PAYLOAD REPORTING,270675,83.40550458715596330275229358
PAYLOAD REPORTING,270677,86.40425531914893617021276596
PAYLOAD REPORTING,270678,85.17424242424242424242424242
PAYLOAD REPORTING,270680,88.79061224489795918367346939
PAYLOAD REPORTING,270682,76.844360902255639097744360902
PAYLOAD REPORTING,270683,82.78308823529411764705882353
PAYLOAD REPORTING,270684,78.609876543209876543209876543
PAYLOAD REPORTING,270685,89.09194029850746268656716418
PAYLOAD REPORTING,270686,88.8759375
PAYLOAD REPORTING,270693,73.833333333333333333333333333
PAYLOAD REPORTING,270695,83.39279279279279279279279279
PAYLOAD REPORTING,270696,76.855603448275862068965517241
PAYLOAD REPORTING,270697,82.51447368421052631578947368
PAYLOAD REPORTING,270698,81.2079831932773109243697479
PAYLOAD REPORTING,270701,81.1978021978021978021978022
PAYLOAD REPORTING,270703,77.934482758620689655172413793
PAYLOAD REPORTING,270704,79.44313725490196078431372549
PAYLOAD REPORTING,270707,79.085276073619631901840490798
PAYLOAD REPORTING,270733,91.977593360995850622406639
PAYLOAD REPORTING,270737,92.42930107526881720430107527
PAYLOAD REPORTING,270738,92.29148351648351648351648352
PAYLOAD REPORTING,270739,79.015277777777777777777777778
PAYLOAD REPORTING,270740,78.684051724137931034482758621
PAYLOAD REPORTING,270741,93.55892857142857142857142857
PAYLOAD REPORTING,270742,84.2179141104294478527607362
PAYLOAD REPORTING,270743,76.580576923076923076923076923
PAYLOAD REPORTING,270744,92.5582040816326530612244898
PAYLOAD REPORTING,270745,92.96123893805309734513274336
PAYLOAD REPORTING,270746,92.3505
PAYLOAD REPORTING,270747,73.805113636363636363636363636
PAYLOAD REPORTING,270748,76.9760
PAYLOAD REPORTING,270749,85.67105263157894736842105263
PAYLOAD REPORTING,270750,91.68068783068783068783068783
PAYLOAD REPORTING,270751,86.85709090909090909090909091
PAYLOAD REPORTING,270752,89.15474006116207951070336391
PAYLOAD REPORTING,270753,95.6445
PAYLOAD REPORTING,270759,90.9952380952380952380952381
PAYLOAD REPORTING,270762,91.49422764227642276422764228
PAYLOAD REPORTING,270764,80.23117647058823529411764706
PAYLOAD REPORTING,270765,92.13026819923371647509578544
PAYLOAD REPORTING,270766,88.65516014234875444839857651

Textbox5,Textbox33,Textbox35,Textbox34,Textbox4,Textbox30,OPERATOR_IDENT,TRUCK_OPERATOR,Textbox80,Textbox19,Textbox31,PAYLOAD,Textbox20,Textbox32
KOMATSU HD785-7,Badge #,Operator,"Avg. Payload
(MT)",Loads,Standard Deviation,,,80.52,33,14.69,86.77,43417,13.06
KOMATSU HD785-7,Badge #,Operator,"Avg. Payload
(MT)",Loads,Standard Deviation,112233,"Support, Wenco",84.48,4,14.83,86.77,43417,13.06
KOMATSU HD785-7,Badge #,Operator,"Avg. Payload
(MT)",Loads,Standard Deviation,266798,"SINGH (266798), AJIT KR.",88.32,239,12.98,86.77,43417,13.06
KOMATSU HD785-7,Badge #,Operator,"Avg. Payload
(MT)",Loads,Standard Deviation,266808,"ANSARI (266808), MD. SABIR",76.80,146,15.94,86.77,43417,13.06
KOMATSU HD785-7,Badge #,Operator,"Avg. Payload
(MT)",Loads,Standard Deviation,266814,"HUSSAIN (266814), ARMAN",78.49,120,13.45,86.77,43417,13.06
KOMATSU HD785-7,Badge #,Operator,"Avg. Payload
(MT)",Loads,Standard Deviation,266909,"KUJUR (266909), NIRDOSH",86.34,94,13.95,86.77,43417,13.06
KOMATSU HD785-7,Badge #,Operator,"Avg. Payload
(MT)",Loads,Standard Deviation,266910,"THAKUR (266910), BINOD KR.",90.74,256,11.82,86.77,43417,13.06
KOMATSU HD785-7,Badge #,Operator,"Avg. Payload
(MT)",Loads,Standard Deviation,266954,"SINGH (266954), MADHAV",93.96,114,7.38,86.77,43417,13.06
KOMATSU HD785-7,Badge #,Operator,"Avg. Payload
(MT)",Loads,Standard Deviation,266958,"YADAV (266958), RAM NARAYAN",90.00,3,10.88,86.77,43417,13.06
KOMATSU HD785-7,Badge #,Operator,"Avg. Payload
(MT)",Loads,Standard Deviation,266975,"SINGH (266975), RAJBIR",89.20,224,10.19,86.77,43417,13.06
KOMATSU HD785-7,Badge #,Operator,"Avg. Payload
(MT)",Loads,Standard Deviation,267008,"YADAV (267008), SURENDRA",94.24,116,10.26,86.77,43417,13.06
KOMATSU HD785-7,Badge #,Operator,"Avg. Payload
(MT)",Loads,Standard Deviation,267019,"MAHTO (267019), SHOBHI",78.75,138,15.08,86.77,43417,13.06
